Publisher
"John Wiley & Sons, Inc."
"Scholastic, Inc."
Houghton Mifflin Harcourt Publishing Company
HarperCollins Publishers
Merriam-Webster Inc.
O'Reilly Media Inc
Penguin Random House
Getty Publications
American Chemical Society Publications
The Art Institute of Chicago Publications Dept.
Thomson Reuters
"National Gallery of Art Publishing Office, Washington, DC"
Chronicle Books
American Academy of Ophthalmology
"Llewellyn Worldwide, Ltd."
Museum of Modern Art
Sounds True Publishing
Guideposts / Ideals
American Foundation for the Blind Press
Institute for Electrical and Electronics Engineers (IEEE)
American Academy of Pediatrics
Kids Discover
NOLO
IDW Publishing
The National Academies Press
Fantagraphics Books
American Society of Health-System Pharmacists
Memoria Press
Rose Publishing
"Tyndale House Publishers, Inc."
University of Minnesota Press
"Wisdom Publications, Inc."
American Mathematical Society
SAE International
Melville House Publishing
Haymarket Books
Oregon Catholic Press
Cemetery Dance Publications
Manning Publications
Morningstar Ministries
W.W. Norton and Company
University of North Carolina Press
Verso Books
Paladin Press
Microcosm Publishing
Apress
Kensington Publishing Corp
St. Anthony Messenger Press and Servant Books
American Institute of Aeronautics and Astronautics
Pearson Education USA
Shambhala Publications
American Institute of Aeronautics & Astronautics (AIAA)
IGI Global
Lee & Low Books
A BEKA Books
American Library Association - ALA Editions
Hal Leonard Online
Harpercollins Children's Books
International Monetary Fund Publications Services
The Critical Thinking Company
Council on Foreign Relations Press
New Growth Press
SAGE Publications Inc
Andrews McMeel Publishing
Simon & Schuster
"Inner Traditions, Bear & Company"
"Sourcebooks, Inc."
Teacher Created Materials
Emmaus Road Publishing
Fast Company Press
Lucid House Publishing
An Inc. Original
Imagin8 Press
New Village Press
Crystal Clarity Publishers
Messianic Jewish Publishers
State University of New York Press (SUNY Press)
Perfection Learning Corporation
"William H. Sadlier, Inc."
Macmillan Publishers
Greenleaf Book Group
Albert Whitman & Company
After Dinner Conversation
Arabelle Publishing
Trinity Hills Publishing
Dawn Publications
Charlesbridge Publishing
Greenleaf Book Group LLC
University of Oklahoma Press
International Engineering Consortium
Oasis Audio
DYSTENIUM LLC - Publishing for The Third Millennium™
Cheng & Tsui Company
EMC/Paradigm Publishing
Insight Editions
"Barbour Publishing, Inc."
"Hyperion A Unit of ABC, Inc. A Division of The Walt Disney Company"
Lincoln Square Books
Histria Books
City Limits Publishing
Ouroboros Press
Creative James Media
Dancing With Bear Publishing
Tasks Galore Publishing
Papaloizos Publications
PennWell Books
Snuggly Books
Dharma Publishing International
Ewing Publication
Library Tales Publishing
"Global Black Inventor Research Projects, Inc"
